NSWMETRO,NO OF DEPENDENTS,$0,"$26,000","$39,000","$52,000","$64,000","$77,000","$103,000","$129,000","$155,000","$180,000","$206,000","$258,000","$322,000","$386,000","$644,000"
 2, 0, $ 586 , $ 586 , $ 600 , $ 629 , $ 668 , $ 727 , $ 814 , $ 889 , $ 970 ," $ 1,017 "," $ 1,082 "," $ 1,196 "," $ 1,366 "," $ 1,387 "," $ 1,387 "
 2, 1, $ 680 , $ 680 , $ 680 , $ 708 , $ 747 , $ 806 , $ 893 , $ 967 ," $ 1,048 "," $ 1,096 "," $ 1,160 "," $ 1,274 "," $ 1,444 "," $ 1,465 "," $ 1,465 "
 2, 2, $ 759 , $ 759 , $ 759 , $ 788 , $ 827 , $ 887 , $ 974 ," $ 1,049 "," $ 1,130 "," $ 1,178 "," $ 1,243 "," $ 1,357 "," $ 1,528 "," $ 1,549 "," $ 1,549 "
 2, 3, $ 856 , $ 856 , $ 856 , $ 856 , $ 895 , $ 954 ," $ 1,041 "," $ 1,116 "," $ 1,197 "," $ 1,244 "," $ 1,309 "," $ 1,423 "," $ 1,593 "," $ 1,614 "," $ 1,614 "
 2, 4, $ 952 , $ 952 , $ 952 , $ 924 , $ 963 ," $ 1,022 "," $ 1,108 "," $ 1,183 "," $ 1,264 "," $ 1,311 "," $ 1,375 "," $ 1,488 "," $ 1,658 "," $ 1,679 "," $ 1,679 "
 2, 5," $ 1,048 "," $ 1,048 "," $ 1,048 ", $ 992 ," $ 1,031 "," $ 1,089 "," $ 1,176 "," $ 1,250 "," $ 1,330 "," $ 1,377 "," $ 1,441 "," $ 1,554 "," $ 1,723 "," $ 1,744 "," $ 1,744 "
 2, 6," $ 1,144 "," $ 1,144 "," $ 1,144 "," $ 1,059 "," $ 1,098 "," $ 1,157 "," $ 1,243 "," $ 1,317 "," $ 1,397 "," $ 1,444 "," $ 1,508 "," $ 1,620 "," $ 1,788 "," $ 1,809 "," $ 1,809 "
 2, 7," $ 1,240 "," $ 1,240 "," $ 1,240 "," $ 1,127 "," $ 1,166 "," $ 1,224 "," $ 1,310 "," $ 1,384 "," $ 1,463 "," $ 1,510 "," $ 1,574 "," $ 1,686 "," $ 1,853 "," $ 1,874 "," $ 1,874 "
 2, 8," $ 1,337 "," $ 1,337 "," $ 1,337 "," $ 1,195 "," $ 1,234 "," $ 1,292 "," $ 1,377 "," $ 1,450 "," $ 1,530 "," $ 1,576 "," $ 1,640 "," $ 1,751 "," $ 1,918 "," $ 1,939 "," $ 1,939 "
 2, 9," $ 1,433 "," $ 1,433 "," $ 1,433 "," $ 1,263 "," $ 1,302 "," $ 1,360 "," $ 1,444 "," $ 1,517 "," $ 1,597 "," $ 1,643 "," $ 1,706 "," $ 1,817 "," $ 1,983 "," $ 2,004 "," $ 2,004 "
 2, 10," $ 1,529 "," $ 1,529 "," $ 1,529 "," $ 1,331 "," $ 1,370 "," $ 1,427 "," $ 1,512 "," $ 1,584 "," $ 1,663 "," $ 1,709 "," $ 1,772 "," $ 1,883 "," $ 2,048 "," $ 2,069 "," $ 2,069 "
 1, 0, $ 298 , $ 314 , $ 329 , $ 357 , $ 397 , $ 456 , $ 543 , $ 617 , $ 698 , $ 746 , $ 811 , $ 924 ," $ 1,094 "," $ 1,116 "," $ 1,116 "
 1, 1, $ 417 , $ 417 , $ 432 , $ 461 , $ 501 , $ 561 , $ 650 , $ 726 , $ 809 , $ 857 , $ 923 ," $ 1,039 "," $ 1,213 "," $ 1,235 "," $ 1,235 "
 1, 2, $ 531 , $ 531 , $ 545 , $ 574 , $ 614 , $ 674 , $ 762 , $ 838 , $ 921 , $ 969 ," $ 1,034 "," $ 1,150 "," $ 1,323 "," $ 1,344 "," $ 1,344 "
 1, 3, $ 659 , $ 659 , $ 659 , $ 687 , $ 727 , $ 787 , $ 875 , $ 950 ," $ 1,032 "," $ 1,080 "," $ 1,145 "," $ 1,260 "," $ 1,432 "," $ 1,454 "," $ 1,454 "
 1, 4, $ 787 , $ 787 , $ 772 , $ 800 , $ 840 , $ 899 , $ 987 ," $ 1,062 "," $ 1,144 "," $ 1,191 "," $ 1,257 "," $ 1,371 "," $ 1,542 "," $ 1,563 "," $ 1,563 "
 1, 5, $ 915 , $ 915 , $ 885 , $ 913 , $ 953 ," $ 1,012 "," $ 1,099 "," $ 1,174 "," $ 1,255 "," $ 1,303 "," $ 1,368 "," $ 1,481 "," $ 1,652 "," $ 1,673 "," $ 1,673 "
 1, 6," $ 1,043 "," $ 1,043 ", $ 998 ," $ 1,027 "," $ 1,066 "," $ 1,125 "," $ 1,212 "," $ 1,286 "," $ 1,367 "," $ 1,414 "," $ 1,479 "," $ 1,592 "," $ 1,762 "," $ 1,783 "," $ 1,783 "
 1, 7," $ 1,171 "," $ 1,171 "," $ 1,112 "," $ 1,140 "," $ 1,179 "," $ 1,238 "," $ 1,324 "," $ 1,398 "," $ 1,478 "," $ 1,525 "," $ 1,590 "," $ 1,702 "," $ 1,871 "," $ 1,892 "," $ 1,892 "
 1, 8," $ 1,299 "," $ 1,299 "," $ 1,225 "," $ 1,253 "," $ 1,292 "," $ 1,350 "," $ 1,436 "," $ 1,510 "," $ 1,590 "," $ 1,637 "," $ 1,701 "," $ 1,813 "," $ 1,981 "," $ 2,002 "," $ 2,002 "
 1, 9," $ 1,427 "," $ 1,427 "," $ 1,338 "," $ 1,366 "," $ 1,405 "," $ 1,463 "," $ 1,548 "," $ 1,622 "," $ 1,701 "," $ 1,748 "," $ 1,812 "," $ 1,923 "," $ 2,091 "," $ 2,112 "," $ 2,112 "
 1, 10," $ 1,555 "," $ 1,555 "," $ 1,452 "," $ 1,479 "," $ 1,518 "," $ 1,576 "," $ 1,661 "," $ 1,734 "," $ 1,813 "," $ 1,859 "," $ 1,923 "," $ 2,034 "," $ 2,200 "," $ 2,221 "," $ 2,221 "