QLDMETRO,NO OF DEPENDENTS,$0,"$26,000","$39,000","$52,000","$64,000","$77,000","$103,000","$129,000","$155,000","$180,000","$206,000","$258,000","$322,000","$386,000","$644,000"
 2, 0, $ 549 , $ 549 , $ 563 , $ 591 , $ 631 , $ 690 , $ 777 , $ 852 , $ 933 , $ 980 ," $ 1,045 "," $ 1,158 "," $ 1,329 "," $ 1,350 "," $ 1,350 "
 2, 1, $ 643 , $ 643 , $ 643 , $ 671 , $ 710 , $ 769 , $ 856 , $ 930 ," $ 1,011 "," $ 1,059 "," $ 1,123 "," $ 1,236 "," $ 1,406 "," $ 1,428 "," $ 1,428 "
 2, 2, $ 722 , $ 722 , $ 722 , $ 750 , $ 790 , $ 849 , $ 937 ," $ 1,012 "," $ 1,093 "," $ 1,141 "," $ 1,206 "," $ 1,320 "," $ 1,490 "," $ 1,512 "," $ 1,512 "
 2, 3, $ 818 , $ 818 , $ 818 , $ 818 , $ 858 , $ 917 ," $ 1,004 "," $ 1,079 "," $ 1,160 "," $ 1,207 "," $ 1,272 "," $ 1,385 "," $ 1,556 "," $ 1,577 "," $ 1,577 "
 2, 4, $ 915 , $ 915 , $ 915 , $ 886 , $ 926 , $ 985 ," $ 1,071 "," $ 1,146 "," $ 1,226 "," $ 1,274 "," $ 1,338 "," $ 1,451 "," $ 1,621 "," $ 1,642 "," $ 1,642 "
 2, 5," $ 1,011 "," $ 1,011 "," $ 1,011 ", $ 955 , $ 994 ," $ 1,052 "," $ 1,139 "," $ 1,213 "," $ 1,293 "," $ 1,340 "," $ 1,404 "," $ 1,517 "," $ 1,686 "," $ 1,707 "," $ 1,707 "
 2, 6," $ 1,107 "," $ 1,107 "," $ 1,107 "," $ 1,023 "," $ 1,062 "," $ 1,120 "," $ 1,206 "," $ 1,280 "," $ 1,360 "," $ 1,407 "," $ 1,471 "," $ 1,583 "," $ 1,751 "," $ 1,772 "," $ 1,772 "
 2, 7," $ 1,204 "," $ 1,204 "," $ 1,204 "," $ 1,091 "," $ 1,130 "," $ 1,188 "," $ 1,273 "," $ 1,347 "," $ 1,427 "," $ 1,473 "," $ 1,537 "," $ 1,649 "," $ 1,816 "," $ 1,837 "," $ 1,837 "
 2, 8," $ 1,300 "," $ 1,300 "," $ 1,300 "," $ 1,159 "," $ 1,197 "," $ 1,255 "," $ 1,341 "," $ 1,414 "," $ 1,493 "," $ 1,540 "," $ 1,603 "," $ 1,715 "," $ 1,882 "," $ 1,902 "," $ 1,902 "
 2, 9," $ 1,396 "," $ 1,396 "," $ 1,396 "," $ 1,227 "," $ 1,265 "," $ 1,323 "," $ 1,408 "," $ 1,481 "," $ 1,560 "," $ 1,606 "," $ 1,670 "," $ 1,781 "," $ 1,947 "," $ 1,968 "," $ 1,968 "
 2, 10," $ 1,493 "," $ 1,493 "," $ 1,493 "," $ 1,295 "," $ 1,333 "," $ 1,391 "," $ 1,475 "," $ 1,548 "," $ 1,627 "," $ 1,673 "," $ 1,736 "," $ 1,847 "," $ 2,012 "," $ 2,033 "," $ 2,033 "
 1, 0, $ 261 , $ 277 , $ 292 , $ 320 , $ 359 , $ 419 , $ 505 , $ 580 , $ 661 , $ 709 , $ 773 , $ 887 ," $ 1,057 "," $ 1,078 "," $ 1,078 "
 1, 1, $ 379 , $ 379 , $ 394 , $ 423 , $ 463 , $ 523 , $ 612 , $ 688 , $ 771 , $ 819 , $ 885 ," $ 1,001 "," $ 1,175 "," $ 1,197 "," $ 1,197 "
 1, 2, $ 493 , $ 493 , $ 507 , $ 536 , $ 576 , $ 636 , $ 725 , $ 800 , $ 883 , $ 931 , $ 997 ," $ 1,112 "," $ 1,285 "," $ 1,306 "," $ 1,306 "
 1, 3, $ 621 , $ 621 , $ 621 , $ 649 , $ 689 , $ 749 , $ 837 , $ 912 , $ 994 ," $ 1,042 "," $ 1,108 "," $ 1,223 "," $ 1,395 "," $ 1,416 "," $ 1,416 "
 1, 4, $ 749 , $ 749 , $ 734 , $ 763 , $ 802 , $ 862 , $ 949 ," $ 1,025 "," $ 1,106 "," $ 1,154 "," $ 1,219 "," $ 1,333 "," $ 1,505 "," $ 1,526 "," $ 1,526 "
 1, 5, $ 877 , $ 877 , $ 848 , $ 876 , $ 916 , $ 975 ," $ 1,062 "," $ 1,137 "," $ 1,218 "," $ 1,265 "," $ 1,330 "," $ 1,444 "," $ 1,615 "," $ 1,636 "," $ 1,636 "
 1, 6," $ 1,006 "," $ 1,006 ", $ 961 , $ 989 ," $ 1,029 "," $ 1,088 "," $ 1,174 "," $ 1,249 "," $ 1,330 "," $ 1,377 "," $ 1,441 "," $ 1,555 "," $ 1,724 "," $ 1,746 "," $ 1,746 "
 1, 7," $ 1,134 "," $ 1,134 "," $ 1,075 "," $ 1,103 "," $ 1,142 "," $ 1,201 "," $ 1,287 "," $ 1,361 "," $ 1,441 "," $ 1,488 "," $ 1,553 "," $ 1,665 "," $ 1,834 "," $ 1,855 "," $ 1,855 "
 1, 8," $ 1,262 "," $ 1,262 "," $ 1,188 "," $ 1,216 "," $ 1,255 "," $ 1,313 "," $ 1,399 "," $ 1,473 "," $ 1,553 "," $ 1,600 "," $ 1,664 "," $ 1,776 "," $ 1,944 "," $ 1,965 "," $ 1,965 "
 1, 9," $ 1,390 "," $ 1,390 "," $ 1,302 "," $ 1,329 "," $ 1,368 "," $ 1,426 "," $ 1,512 "," $ 1,585 "," $ 1,665 "," $ 1,711 "," $ 1,775 "," $ 1,887 "," $ 2,054 "," $ 2,075 "," $ 2,075 "
 1, 10," $ 1,518 "," $ 1,518 "," $ 1,415 "," $ 1,443 "," $ 1,481 "," $ 1,539 "," $ 1,624 "," $ 1,697 "," $ 1,777 "," $ 1,823 "," $ 1,886 "," $ 1,997 "," $ 2,164 "," $ 2,185 "," $ 2,185 "