TASNONMETRO,NO OF DEPENDENTS,$0,"$26,000","$39,000","$52,000","$64,000","$77,000","$103,000","$129,000","$155,000","$180,000","$206,000","$258,000","$322,000","$386,000","$644,000"
 2, 0, $ 595 , $ 595 , $ 609 , $ 637 , $ 677 , $ 736 , $ 823 , $ 897 , $ 979 ," $ 1,026 "," $ 1,091 "," $ 1,204 "," $ 1,375 "," $ 1,396 "," $ 1,396 "
 2, 1, $ 688 , $ 688 , $ 688 , $ 716 , $ 756 , $ 815 , $ 902 , $ 976 ," $ 1,057 "," $ 1,104 "," $ 1,169 "," $ 1,282 "," $ 1,452 "," $ 1,473 "," $ 1,473 "
 2, 2, $ 768 , $ 768 , $ 768 , $ 796 , $ 836 , $ 895 , $ 983 ," $ 1,058 "," $ 1,139 "," $ 1,187 "," $ 1,252 "," $ 1,366 "," $ 1,537 "," $ 1,558 "," $ 1,558 "
 2, 3, $ 864 , $ 864 , $ 864 , $ 864 , $ 904 , $ 963 ," $ 1,050 "," $ 1,124 "," $ 1,206 "," $ 1,253 "," $ 1,318 "," $ 1,431 "," $ 1,602 "," $ 1,623 "," $ 1,623 "
 2, 4, $ 960 , $ 960 , $ 960 , $ 932 , $ 972 ," $ 1,030 "," $ 1,117 "," $ 1,191 "," $ 1,272 "," $ 1,319 "," $ 1,384 "," $ 1,497 "," $ 1,667 "," $ 1,688 "," $ 1,688 "
 2, 5," $ 1,057 "," $ 1,057 "," $ 1,057 "," $ 1,000 "," $ 1,039 "," $ 1,098 "," $ 1,184 "," $ 1,258 "," $ 1,339 "," $ 1,386 "," $ 1,450 "," $ 1,563 "," $ 1,732 "," $ 1,753 "," $ 1,753 "
 2, 6," $ 1,153 "," $ 1,153 "," $ 1,153 "," $ 1,068 "," $ 1,107 "," $ 1,165 "," $ 1,251 "," $ 1,325 "," $ 1,405 "," $ 1,452 "," $ 1,516 "," $ 1,628 "," $ 1,797 "," $ 1,818 "," $ 1,818 "
 2, 7," $ 1,249 "," $ 1,249 "," $ 1,249 "," $ 1,136 "," $ 1,175 "," $ 1,233 "," $ 1,319 "," $ 1,392 "," $ 1,472 "," $ 1,519 "," $ 1,582 "," $ 1,694 "," $ 1,862 "," $ 1,883 "," $ 1,883 "
 2, 8," $ 1,345 "," $ 1,345 "," $ 1,345 "," $ 1,204 "," $ 1,242 "," $ 1,300 "," $ 1,386 "," $ 1,459 "," $ 1,538 "," $ 1,585 "," $ 1,648 "," $ 1,760 "," $ 1,927 "," $ 1,947 "," $ 1,947 "
 2, 9," $ 1,441 "," $ 1,441 "," $ 1,441 "," $ 1,272 "," $ 1,310 "," $ 1,368 "," $ 1,453 "," $ 1,526 "," $ 1,605 "," $ 1,651 "," $ 1,715 "," $ 1,825 "," $ 1,992 "," $ 2,012 "," $ 2,012 "
 2, 10," $ 1,537 "," $ 1,537 "," $ 1,537 "," $ 1,340 "," $ 1,378 "," $ 1,435 "," $ 1,520 "," $ 1,593 "," $ 1,672 "," $ 1,718 "," $ 1,781 "," $ 1,891 "," $ 2,057 "," $ 2,077 "," $ 2,077 "
 1, 0, $ 307 , $ 323 , $ 338 , $ 366 , $ 405 , $ 464 , $ 551 , $ 626 , $ 707 , $ 754 , $ 819 , $ 933 ," $ 1,103 "," $ 1,124 "," $ 1,124 "
 1, 1, $ 426 , $ 426 , $ 441 , $ 470 , $ 510 , $ 570 , $ 659 , $ 735 , $ 818 , $ 866 , $ 932 ," $ 1,048 "," $ 1,222 "," $ 1,243 "," $ 1,243 "
 1, 2, $ 539 , $ 539 , $ 554 , $ 583 , $ 623 , $ 683 , $ 771 , $ 847 , $ 929 , $ 977 ," $ 1,043 "," $ 1,159 "," $ 1,331 "," $ 1,353 "," $ 1,353 "
 1, 3, $ 667 , $ 667 , $ 667 , $ 696 , $ 736 , $ 795 , $ 883 , $ 959 ," $ 1,041 "," $ 1,089 "," $ 1,154 "," $ 1,269 "," $ 1,441 "," $ 1,463 "," $ 1,463 "
 1, 4, $ 795 , $ 795 , $ 781 , $ 809 , $ 849 , $ 908 , $ 996 ," $ 1,071 "," $ 1,152 "," $ 1,200 "," $ 1,265 "," $ 1,380 "," $ 1,551 "," $ 1,572 "," $ 1,572 "
 1, 5, $ 923 , $ 923 , $ 894 , $ 922 , $ 962 ," $ 1,021 "," $ 1,108 "," $ 1,183 "," $ 1,264 "," $ 1,311 "," $ 1,376 "," $ 1,490 "," $ 1,660 "," $ 1,682 "," $ 1,682 "
 1, 6," $ 1,051 "," $ 1,051 "," $ 1,007 "," $ 1,035 "," $ 1,074 "," $ 1,133 "," $ 1,220 "," $ 1,294 "," $ 1,375 "," $ 1,423 "," $ 1,487 "," $ 1,600 "," $ 1,770 "," $ 1,791 "," $ 1,791 "
 1, 7," $ 1,179 "," $ 1,179 "," $ 1,120 "," $ 1,148 "," $ 1,187 "," $ 1,246 "," $ 1,332 "," $ 1,406 "," $ 1,487 "," $ 1,534 "," $ 1,598 "," $ 1,711 "," $ 1,880 "," $ 1,901 "," $ 1,901 "
 1, 8," $ 1,307 "," $ 1,307 "," $ 1,234 "," $ 1,261 "," $ 1,300 "," $ 1,359 "," $ 1,445 "," $ 1,518 "," $ 1,598 "," $ 1,645 "," $ 1,709 "," $ 1,821 "," $ 1,989 "," $ 2,010 "," $ 2,010 "
 1, 9," $ 1,435 "," $ 1,435 "," $ 1,347 "," $ 1,374 "," $ 1,413 "," $ 1,471 "," $ 1,557 "," $ 1,630 "," $ 1,710 "," $ 1,756 "," $ 1,820 "," $ 1,932 "," $ 2,099 "," $ 2,120 "," $ 2,120 "
 1, 10," $ 1,563 "," $ 1,563 "," $ 1,460 "," $ 1,488 "," $ 1,526 "," $ 1,584 "," $ 1,669 "," $ 1,742 "," $ 1,821 "," $ 1,868 "," $ 1,931 "," $ 2,042 "," $ 2,209 "," $ 2,230 "," $ 2,230 "