VICMETRO,NO OF DEPENDENTS,$0,"$26,000","$39,000","$52,000","$64,000","$77,000","$103,000","$129,000","$155,000","$180,000","$206,000","$258,000","$322,000","$386,000","$644,000"
 2, 0, $ 602 , $ 602 , $ 617 , $ 645 , $ 685 , $ 744 , $ 831 , $ 905 , $ 986 ," $ 1,034 "," $ 1,099 "," $ 1,212 "," $ 1,383 "," $ 1,404 "," $ 1,404 "
 2, 1, $ 696 , $ 696 , $ 696 , $ 724 , $ 764 , $ 823 , $ 910 , $ 984 ," $ 1,065 "," $ 1,112 "," $ 1,177 "," $ 1,290 "," $ 1,460 "," $ 1,481 "," $ 1,481 "
 2, 2, $ 776 , $ 776 , $ 776 , $ 804 , $ 844 , $ 903 , $ 991 ," $ 1,066 "," $ 1,147 "," $ 1,195 "," $ 1,260 "," $ 1,374 "," $ 1,544 "," $ 1,566 "," $ 1,566 "
 2, 3, $ 872 , $ 872 , $ 872 , $ 872 , $ 912 , $ 971 ," $ 1,058 "," $ 1,132 "," $ 1,214 "," $ 1,261 "," $ 1,326 "," $ 1,439 "," $ 1,609 "," $ 1,631 "," $ 1,631 "
 2, 4, $ 968 , $ 968 , $ 968 , $ 940 , $ 979 ," $ 1,038 "," $ 1,125 "," $ 1,199 "," $ 1,280 "," $ 1,327 "," $ 1,392 "," $ 1,505 "," $ 1,674 "," $ 1,696 "," $ 1,696 "
 2, 5," $ 1,064 "," $ 1,064 "," $ 1,064 "," $ 1,008 "," $ 1,047 "," $ 1,106 "," $ 1,192 "," $ 1,266 "," $ 1,347 "," $ 1,394 "," $ 1,458 "," $ 1,571 "," $ 1,739 "," $ 1,760 "," $ 1,760 "
 2, 6," $ 1,161 "," $ 1,161 "," $ 1,161 "," $ 1,076 "," $ 1,115 "," $ 1,173 "," $ 1,259 "," $ 1,333 "," $ 1,413 "," $ 1,460 "," $ 1,524 "," $ 1,636 "," $ 1,804 "," $ 1,825 "," $ 1,825 "
 2, 7," $ 1,257 "," $ 1,257 "," $ 1,257 "," $ 1,144 "," $ 1,183 "," $ 1,241 "," $ 1,326 "," $ 1,400 "," $ 1,480 "," $ 1,526 "," $ 1,590 "," $ 1,702 "," $ 1,869 "," $ 1,890 "," $ 1,890 "
 2, 8," $ 1,353 "," $ 1,353 "," $ 1,353 "," $ 1,212 "," $ 1,250 "," $ 1,308 "," $ 1,393 "," $ 1,467 "," $ 1,546 "," $ 1,593 "," $ 1,656 "," $ 1,768 "," $ 1,934 "," $ 1,955 "," $ 1,955 "
 2, 9," $ 1,449 "," $ 1,449 "," $ 1,449 "," $ 1,279 "," $ 1,318 "," $ 1,376 "," $ 1,461 "," $ 1,533 "," $ 1,613 "," $ 1,659 "," $ 1,722 "," $ 1,833 "," $ 1,999 "," $ 2,020 "," $ 2,020 "
 2, 10," $ 1,545 "," $ 1,545 "," $ 1,545 "," $ 1,347 "," $ 1,386 "," $ 1,443 "," $ 1,528 "," $ 1,600 "," $ 1,679 "," $ 1,725 "," $ 1,788 "," $ 1,899 "," $ 2,064 "," $ 2,085 "," $ 2,085 "
 1, 0, $ 314 , $ 331 , $ 346 , $ 374 , $ 413 , $ 472 , $ 559 , $ 634 , $ 715 , $ 762 , $ 827 , $ 941 ," $ 1,111 "," $ 1,132 "," $ 1,132 "
 1, 1, $ 434 , $ 434 , $ 449 , $ 478 , $ 518 , $ 578 , $ 667 , $ 743 , $ 826 , $ 874 , $ 940 ," $ 1,056 "," $ 1,230 "," $ 1,252 "," $ 1,252 "
 1, 2, $ 547 , $ 547 , $ 562 , $ 591 , $ 631 , $ 691 , $ 779 , $ 855 , $ 937 , $ 985 ," $ 1,051 "," $ 1,167 "," $ 1,340 "," $ 1,361 "," $ 1,361 "
 1, 3, $ 675 , $ 675 , $ 675 , $ 704 , $ 744 , $ 803 , $ 891 , $ 967 ," $ 1,049 "," $ 1,097 "," $ 1,162 "," $ 1,277 "," $ 1,449 "," $ 1,471 "," $ 1,471 "
 1, 4, $ 803 , $ 803 , $ 789 , $ 817 , $ 857 , $ 916 ," $ 1,004 "," $ 1,079 "," $ 1,160 "," $ 1,208 "," $ 1,273 "," $ 1,387 "," $ 1,559 "," $ 1,580 "," $ 1,580 "
 1, 5, $ 931 , $ 931 , $ 902 , $ 930 , $ 969 ," $ 1,029 "," $ 1,116 "," $ 1,191 "," $ 1,272 "," $ 1,319 "," $ 1,384 "," $ 1,498 "," $ 1,668 "," $ 1,690 "," $ 1,690 "
 1, 6," $ 1,059 "," $ 1,059 "," $ 1,015 "," $ 1,043 "," $ 1,082 "," $ 1,141 "," $ 1,228 "," $ 1,302 "," $ 1,383 "," $ 1,430 "," $ 1,495 "," $ 1,608 "," $ 1,778 "," $ 1,799 "," $ 1,799 "
 1, 7," $ 1,187 "," $ 1,187 "," $ 1,128 "," $ 1,156 "," $ 1,195 "," $ 1,254 "," $ 1,340 "," $ 1,414 "," $ 1,495 "," $ 1,542 "," $ 1,606 "," $ 1,719 "," $ 1,888 "," $ 1,909 "," $ 1,909 "
 1, 8," $ 1,315 "," $ 1,315 "," $ 1,241 "," $ 1,269 "," $ 1,308 "," $ 1,367 "," $ 1,452 "," $ 1,526 "," $ 1,606 "," $ 1,653 "," $ 1,717 "," $ 1,829 "," $ 1,997 "," $ 2,018 "," $ 2,018 "
 1, 9," $ 1,443 "," $ 1,443 "," $ 1,355 "," $ 1,382 "," $ 1,421 "," $ 1,479 "," $ 1,565 "," $ 1,638 "," $ 1,718 "," $ 1,764 "," $ 1,828 "," $ 1,940 "," $ 2,107 "," $ 2,128 "," $ 2,128 "
 1, 10," $ 1,571 "," $ 1,571 "," $ 1,468 "," $ 1,495 "," $ 1,534 "," $ 1,592 "," $ 1,677 "," $ 1,750 "," $ 1,829 "," $ 1,875 "," $ 1,939 "," $ 2,050 "," $ 2,217 "," $ 2,237 "," $ 2,237 "