VICNONMETRO,NO OF DEPENDENTS,$0,"$26,000","$39,000","$52,000","$64,000","$77,000","$103,000","$129,000","$155,000","$180,000","$206,000","$258,000","$322,000","$386,000","$644,000"
 2, 0, $ 643 , $ 643 , $ 657 , $ 685 , $ 725 , $ 784 , $ 871 , $ 946 ," $ 1,027 "," $ 1,074 "," $ 1,139 "," $ 1,252 "," $ 1,423 "," $ 1,444 "," $ 1,444 "
 2, 1, $ 736 , $ 736 , $ 736 , $ 765 , $ 804 , $ 863 , $ 950 ," $ 1,024 "," $ 1,105 "," $ 1,152 "," $ 1,217 "," $ 1,330 "," $ 1,500 "," $ 1,521 "," $ 1,521 "
 2, 2, $ 816 , $ 816 , $ 816 , $ 845 , $ 884 , $ 944 ," $ 1,031 "," $ 1,106 "," $ 1,187 "," $ 1,235 "," $ 1,300 "," $ 1,414 "," $ 1,585 "," $ 1,606 "," $ 1,606 "
 2, 3, $ 912 , $ 912 , $ 912 , $ 912 , $ 952 ," $ 1,011 "," $ 1,098 "," $ 1,173 "," $ 1,254 "," $ 1,301 "," $ 1,366 "," $ 1,479 "," $ 1,650 "," $ 1,671 "," $ 1,671 "
 2, 4," $ 1,008 "," $ 1,008 "," $ 1,008 ", $ 980 ," $ 1,019 "," $ 1,078 "," $ 1,165 "," $ 1,239 "," $ 1,320 "," $ 1,367 "," $ 1,432 "," $ 1,545 "," $ 1,715 "," $ 1,736 "," $ 1,736 "
 2, 5," $ 1,104 "," $ 1,104 "," $ 1,104 "," $ 1,048 "," $ 1,087 "," $ 1,146 "," $ 1,232 "," $ 1,306 "," $ 1,387 "," $ 1,433 "," $ 1,498 "," $ 1,610 "," $ 1,779 "," $ 1,800 "," $ 1,800 "
 2, 6," $ 1,200 "," $ 1,200 "," $ 1,200 "," $ 1,116 "," $ 1,155 "," $ 1,213 "," $ 1,299 "," $ 1,373 "," $ 1,453 "," $ 1,500 "," $ 1,564 "," $ 1,676 "," $ 1,844 "," $ 1,865 "," $ 1,865 "
 2, 7," $ 1,296 "," $ 1,296 "," $ 1,296 "," $ 1,183 "," $ 1,222 "," $ 1,280 "," $ 1,366 "," $ 1,439 "," $ 1,519 "," $ 1,566 "," $ 1,630 "," $ 1,741 "," $ 1,909 "," $ 1,930 "," $ 1,930 "
 2, 8," $ 1,392 "," $ 1,392 "," $ 1,392 "," $ 1,251 "," $ 1,290 "," $ 1,348 "," $ 1,433 "," $ 1,506 "," $ 1,586 "," $ 1,632 "," $ 1,696 "," $ 1,807 "," $ 1,974 "," $ 1,995 "," $ 1,995 "
 2, 9," $ 1,488 "," $ 1,488 "," $ 1,488 "," $ 1,319 "," $ 1,357 "," $ 1,415 "," $ 1,500 "," $ 1,573 "," $ 1,652 "," $ 1,698 "," $ 1,762 "," $ 1,872 "," $ 2,039 "," $ 2,059 "," $ 2,059 "
 2, 10," $ 1,584 "," $ 1,584 "," $ 1,584 "," $ 1,386 "," $ 1,425 "," $ 1,482 "," $ 1,567 "," $ 1,639 "," $ 1,718 "," $ 1,764 "," $ 1,827 "," $ 1,938 "," $ 2,104 "," $ 2,124 "," $ 2,124 "
 1, 0, $ 355 , $ 371 , $ 386 , $ 414 , $ 453 , $ 513 , $ 599 , $ 674 , $ 755 , $ 803 , $ 867 , $ 981 ," $ 1,151 "," $ 1,172 "," $ 1,172 "
 1, 1, $ 475 , $ 475 , $ 490 , $ 519 , $ 559 , $ 619 , $ 708 , $ 784 , $ 867 , $ 915 , $ 981 ," $ 1,097 "," $ 1,271 "," $ 1,293 "," $ 1,293 "
 1, 2, $ 588 , $ 588 , $ 603 , $ 632 , $ 672 , $ 732 , $ 820 , $ 896 , $ 978 ," $ 1,026 "," $ 1,092 "," $ 1,207 "," $ 1,380 "," $ 1,402 "," $ 1,402 "
 1, 3, $ 716 , $ 716 , $ 716 , $ 744 , $ 784 , $ 844 , $ 932 ," $ 1,007 "," $ 1,090 "," $ 1,137 "," $ 1,203 "," $ 1,318 "," $ 1,490 "," $ 1,511 "," $ 1,511 "
 1, 4, $ 844 , $ 844 , $ 829 , $ 857 , $ 897 , $ 957 ," $ 1,044 "," $ 1,119 "," $ 1,201 "," $ 1,248 "," $ 1,314 "," $ 1,428 "," $ 1,599 "," $ 1,621 "," $ 1,621 "
 1, 5, $ 972 , $ 972 , $ 942 , $ 970 ," $ 1,010 "," $ 1,069 "," $ 1,156 "," $ 1,231 "," $ 1,312 "," $ 1,360 "," $ 1,424 "," $ 1,538 "," $ 1,709 "," $ 1,730 "," $ 1,730 "
 1, 6," $ 1,099 "," $ 1,099 "," $ 1,055 "," $ 1,083 "," $ 1,122 "," $ 1,181 "," $ 1,268 "," $ 1,342 "," $ 1,423 "," $ 1,471 "," $ 1,535 "," $ 1,648 "," $ 1,818 "," $ 1,839 "," $ 1,839 "
 1, 7," $ 1,227 "," $ 1,227 "," $ 1,168 "," $ 1,196 "," $ 1,235 "," $ 1,294 "," $ 1,380 "," $ 1,454 "," $ 1,535 "," $ 1,582 "," $ 1,646 "," $ 1,759 "," $ 1,928 "," $ 1,949 "," $ 1,949 "
 1, 8," $ 1,355 "," $ 1,355 "," $ 1,281 "," $ 1,309 "," $ 1,348 "," $ 1,406 "," $ 1,492 "," $ 1,566 "," $ 1,646 "," $ 1,693 "," $ 1,757 "," $ 1,869 "," $ 2,037 "," $ 2,058 "," $ 2,058 "
 1, 9," $ 1,483 "," $ 1,483 "," $ 1,394 "," $ 1,422 "," $ 1,461 "," $ 1,519 "," $ 1,604 "," $ 1,677 "," $ 1,757 "," $ 1,804 "," $ 1,867 "," $ 1,979 "," $ 2,146 "," $ 2,167 "," $ 2,167 "
 1, 10," $ 1,610 "," $ 1,610 "," $ 1,507 "," $ 1,535 "," $ 1,573 "," $ 1,631 "," $ 1,716 "," $ 1,789 "," $ 1,869 "," $ 1,915 "," $ 1,978 "," $ 2,089 "," $ 2,256 "," $ 2,277 "," $ 2,277 "